                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0929,                 0.6103,                 1.0247,                0.95438,                0.98061,                0.96721,                0.50018,                 1.6237,                0.65599,                 1.3715,               0.001288,               0.001288,               0.001288
                     90,                 1.0543,                0.59388,                 1.0441,                0.96956,                0.99543,                 0.9922,                0.50737,                 1.6047,                0.64989,                 1.3666,               0.001189,               0.001189,               0.001189
                     91,                 1.0742,                 0.6087,                 1.0519,                0.96529,                      1,                0.99138,                0.51195,                 1.5997,                0.65069,                 1.3675,                0.00109,                0.00109,                0.00109
                     92,                 1.0923,                0.62139,                  1.047,                0.96666,                      1,                0.99138,                0.52138,                 1.5954,                0.65339,                 1.3654,               0.000991,               0.000991,               0.000991
                     93,                 1.0639,                0.58329,                 1.0239,                0.96693,                      1,                0.99121,                0.51355,                 1.6004,                0.65947,                  1.371,               0.000892,               0.000892,               0.000892
                     94,                 1.0677,                0.59409,                 1.0404,                0.96715,                      1,                0.99171,                0.51169,                 1.6083,                0.65578,                 1.3686,               0.000793,               0.000793,               0.000793
                     95,                 1.0504,                0.58341,                 1.0124,                0.96605,                      1,                0.99123,                0.51036,                 1.6147,                0.65603,                 1.3743,               0.000694,               0.000694,               0.000694
                     96,                 1.0785,                0.60785,                 1.0387,                 0.9667,                      1,                0.99092,                0.50814,                  1.609,                 0.6556,                 1.3709,               0.000595,               0.000595,               0.000595
                     97,                 1.0409,                 0.5854,                 1.0476,                0.96705,                      1,                 0.9904,                0.50635,                 1.6052,                0.65439,                  1.368,               0.000496,               0.000496,               0.000496
                     98,                 1.0395,                0.57493,                 1.0146,                0.96724,                      1,                0.98976,                0.50519,                 1.6057,                0.65535,                  1.368,               0.000397,               0.000397,               0.000397
                     99,                 1.0344,                0.59367,                 1.0219,                0.96747,                      1,                0.98943,                0.48951,                 1.6115,                0.65691,                 1.3707,               0.000298,               0.000298,               0.000298
